Question,Correct
हाल विश्वमा करीब २१.४० करोड मानिस आप्रवासीका रूपमा रहेका छन् भने एशिया तथा प्रसान्त क्षेत्रमा यसको हिस्सा कति रहेको छ ? (2012 / 2013 AD Data)   ,25 %
सार्वजनिक सस्थाहरुमध्ये वितिय क्षेत्रअन्तरगत रहेको संस्थानहरुको संख्या कति छ ?     ,८
पाँच करोड रुपैया माथि पन्ध्र करोड रुपैया सम्म स्थिर र जेथा भएको उद्योग लाई के भनिन्छ ?  ,मझौला उदयोग
Makhaya Ntini is related with which sport?   ,Cricket
Wayne Gretzky is related with?  ,Ice Hockey
काठमाडौँ उपत्यकामा विद्युतीय बस सेवाको सुरुवात कहिलेदेखि गरिएको हो ?   , विसं २०७६ भदौ २४
"Gorkha Tole lies in France, where does the village names ""Nepal"" lies?  ",Japan
Mohottari जिल्लाको सदरमुकाम कुन हो ?  ,Jaleshwor
अरस्तु (Aristotle) कसका चेला थिए ?  ,प्लेटो (Plato)
रामले सीतालाई त्यागे पछि उनले कुन ऋषिको आश्रममा शरण लिएकी थिइन ?  ,बाल्मिकी
डेटोटिक लिपिको विकास कुन सभ्यतामा भएको हो?  ,मिश्र
 `सत्यग्रह भनेर के बुझिनछ ?  ,माथिको सबै
कौटिल्य को कुन ग्रन्थ लाई पुर्विय शासन पद्दतीको important कृति मानिएको छ ?  ,अर्थशास्त्र
नेपाललाई सर्बप्रथम बिदेसी सहायता उपलब्ध गराउने बहुपक्षीय संस्था कुन हो ?  ,UNDP
Which is the largest bilateral donor to Nepal?  ,Japan
Swine Flu वा Influenza A H1N1 बाट मृत्यु हुने पहिलो नेपाली को हुन् जो नेपाल सरकारको निजामती कर्मचारी पनि थिए र उनलाई अमेरिकामा यो रोग लागेको थियो ?  ,Bhawa Krishna Bhandari
सबै भन्दा सानो चरा कुन हो ?  ,Bee Humming Bird
ढोरपाटन सिकार आराक्ष्य कती क्षेत्रफल मा फैलिएको छ ?  ,1325 Sq. KM
फोर्ब्स पत्रिकाको  रिपोर्ट २०१८ आनुसार बिश्वक दस शक्तिसाली मय्धे  # १ मा को छन्?  ,Xi Jinping
Dhawalagiri अञ्चलमा कती ओटा जिल्लाहरु छन् ?  ,4
Which is the Capital of Zimbabwe?  ,Harare
नेपालको कुन जिल्लाको आकार नेपालको नक्सा संग मिल्दो जुल्दो छ ?  ,बाग्लुंग
रामशाहले कति वर्ष राज्य गरेका थिए ?  ,२७ वर्ष
कैलाशकुट भवन कुन ठाउमा अवस्थीत थियो ?  ,देवपटन
भैरब लाई हसाउने राजा को हुन् ?  ,Pratap Malla
पहिलो आम निर्वाचन कहिले भएको हो ?  ,२०१५ फागुन ७
कौटिल्य लाई आर्को के नाम ले चिनिन्छ ?  ,चाणक्य
नेपाल मा बाघ संरक्षणका लागि ३० लाख डलर (३० करोड रुपैया ) सहयोग गर्ने  Hollywood का चिरपरिचित नायक को हुन ?  ,Leonardo da Dicaprio
नेपालको तराई क्षेत्रमा कुन प्रकार को माटो पाईन्छ ?  ,पाँगो माटो
लिम्बु जातिले कुन पर्व मनाउदछन ?  ,फोदडमा
0 and 1 Number System is Called?  ,Binary
International Green Cross को स्थापना कहिले भएको थियो ?  ,सन् १९९२
यस वर्ष (विसं २०७६) को चक्रपाणि स्मृति पुरस्कार कसलाई प्रदान गरियो ?   ,बालसाहित्यकार एवम् जीवनीकार गोपाल पराजुली
"जनशंख्याको आधारमा नेपाल, विश्वमा कतिवौ स्थानमा पर्दछ ?  ",49
Mugu जिल्लाको सदरमुकाम कुन हो ?  ,Gamgadi
Rautahat जिल्लाको सदरमुकाम कुन हो ?  ,Gaur
भानुभक्त आचार्य ले पढ्न - लेख्न को बाट सिकेका थिए ?  ,हजुरबुवा श्रीकृष्ण आचार्य
पृथ्वीनारयण शाहले कोसंग मित लागाएका थिए ?  ,विरनरसिह
कांग्रेसको १३ औ  महाधिबेसनबाट सभापतिमा को निर्वाचित भयो ?   ,Sher Bahadur Deuba
महात्मा गान्धीको वास्तविक नाम के हो ?  ,मोहनदास करमचन्द  गान्धी
नेपाल राष्ट्र बैंकको लेखापरिक्षण कसले गर्छ ?  ,महालेखा परिक्षकले
शुद्ध रगत बोक्ने Vein कुन हो ?  ,Pulmonary Vein
आर्थिक सर्वेक्षण २०७३/७४ अनुसार आ.व. २०७३/७४ मा नेपालमा कति खाद्यान्न उत्पादन हुने अनुमान छ ?  ,९७ लाख ४१ हजार टन
कुन बिकाश क्षेत्रमा सबै भन्दा धेरै जिल्लाहरु छन् ?  ,Centeral Development Region
Central Development Region मा नपर्ने अञ्चल कुन हो ?  ,Koshi
Central Development Region मा पर्ने अञ्चल कुन हो ?  ,Narayani
भिमसेन थापाको जन्म कहिले भएको थियो ?  ,वि.स. १८३२
 बौद्ध धर्मका चार स्तुपा कसले बनाएका थिए ?  ,Mandev
नेपाल को संबिधान - २०७२ कहिले जारी भएको हो ?  ,2072-Ashoj-3
१२ बर्षको उमेरमा मोहनदास करमचन्द (महात्मा गान्धी) को बिबाह को संग भएको थियो ?  ,कस्तुरवा
हाल नेपालमा वन क्षेत्रले ढाकेको भू-भाग कति छ ?  ,29 %
 क्रेडिट कार्ड प्रयोग गर्ने नेपालको पहिलो बैँक कुन हो ?  ,Himalayan Bank
एड्स रोगको उत्पती सर्वप्रथम कुन देशमा भएको हो ?  ,अफ्रिका
संयुक्त राष्ट्र संघ शान्ति स्थापना गर्न सबैभन्दा बढी खर्च गरेको मुलुक कुन हो?   , कम्बोडिया
Lamjung जिल्लाको सदरमुकाम कुन हो ?  ,Besisahar
सगरमाथा हिमालको उचाई कति फिट छ?  ,29028
 सबैभन्दा गहिरो नदी कुन हो ?  ,Narayani
अंशुबर्मा कुन सम्प्रदायका थिए ?  ,पासुपत सम्प्रदाय
नोबेल शान्ति पुरस्कारका  लागी महात्मा गान्धी पाँच चोटी मनोनयनमा परेका थिए भने Jawaharlal Nehru सो पुरस्कारका लागी कतिपटक मनोनयन मा परेका थिए? (तर उनले सो पुरस्कार एक चोटी पनि प्राप्त गरेनन)  ,11 Times
राणाकालीन समयमा नेपालमा कति जना प्रधानमन्त्री भएका थिय ?  ,११ जना
"नेपाली सेनाको सेनानी (मेजर), निजामती कर्मचारीको कुन श्रेणीको पद बराबर मानिन्छ ?   ",उप सचिब
Confucius ले कति वर्ष को उमेरमा आफैले बिद्यालय खोली संचालन गरेका थिए ?  ,22
उपभोक्तामाथि सिधै लगाईने कारलाई के भनिन्छ ?  ,प्रत्क्ष्य कर
'संसारको चिडियाखाना' भनेर कुन जलवायुलाई चिनिन्छ ?  ,उष्ण मौसमी जलवायु
आप्रवासी कामदारको मानवअधिकार संरक्षणसम्बन्धी अन्तर्राष्ट्रिय सम्मेलनको आयोजना काठमाडौँमा कहिले गरियो ?   , २०७६ कात्तिक २६–२८
Bara जिल्लाको सदरमुकाम कुन हो ?  ,Kalaiya
क्षेत्रफलका हिसाबले विश्वकै सबभन्दा ठूलो राष्ट् कुन हो ?  ,Russia
नेपालको सबै भन्दा ठुलो राष्ट्रिय निकुञ्ज कुन हो ?  ,Shey Phoksundo National Park
"""Man is born free but everywhere he is in chains"" यो भनाइ कसको हो ?  ",Russo
"""I would like to be ruled by 1 lion rather by hundred rats"" यो भनाइ कसको हो ?  ",Voltaire
महिला माथि दुरब्वोहार गरेको आरोपमा राजीनामा दिने कृषि मन्त्री को हुन् ?  ,हरि पराजुली
(Socrates) सुकरातको आमा को नाम के हो ?  ,Phaenarete
सार्बजनिक संस्थानहरु मध्ये सेवा क्षेत्रअन्तर्गत रहेका संस्थानहरुको संख्या कति छ?  ,7
Which is the Economic Capital (आर्थिक राजधानी) of China?  ,Shanghai
Rara राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?  ,106 Sq. KM
कुन ग्रुपको रगत स्थान्तरण गर्न सबैभन्दा सुरक्षित हुन्छ ?  ,0 N
Amazon.com कस्तो खालको Website हो ?  ,E-Commerce
 विश्व कला परिषद्ले ललितपुर महानगरपालिकालाई कतिऔँ कला नगरीका रूपमा घोषणा गरेको छ ?  ,३५औँ
तल दिएको मध्य कुन जिल्ला सगरमाथा अञ्चलमा पर्दछ ?  ,Khotang
विश्वको सबै भन्दा गहिरो ठाउँ कुन हो ?  ,Mariana Trench
Gandaki अञ्चलको सदरमुकाम कुन हो ?  ,Pokhara
ताजीया कुन धर्मालम्बीको पर्व हो ?  ,Muslim
वेदव्यासको बुबाको नाम के हो ?  ,परासर
"राजनीतिको मुख्य उदेश्य समाज र मानिस लाई नैतिकवान बनाउनु हो, यो भनाइ कसको हो?  ",महात्मा गान्धी
जावलाखेल चिडियाखाना को स्थापना कसले गरेका हुन् ?  ,Juddha Samsher
अरस्तुका बुबा उनलाई चिकित्सक बनाउन चाहन्थे भने उनि चाहिँ भविस्यमा के बन्न चाहन्थे ?  ,Politician
कृतिपुर कहिले विजय प्राप्त गर्न सकियो ?  , १८२२ चैत्र ३
राष्ट्रिय कृषि गणना २०६८ को प्रतिवेदन अनुसार पछिल्लो १० वर्षमा सुँगुर - बंगुर पालन ३० प्रतिसतले बढेको छ भने भेडा पालन कति प्रतिसतले बढेको छ ?   ,29 %
नेपाली आर्थतन्त्र को बिसेसता दिएको मध्ये कुन हो ?  ,सबै उत्तर ठिक छन्
अन्तर्राष्ट्रियपर्वतीय संग्राहालय कहाँ रहेको छ ?  ,खिम्ती
FLU  'एक प्रकारको रुघाखोकी' सर्ने मध्यम कुन हो ?  ,चराचुरुंगीहरुबाट
सबै भन्दा ठुलो स्थल जनावर कुन हो ?  ,Elephant
१३औ सग गमे- २०१९(काठमाडौँ -पोखरा) कति स्वर्ण पदक  वितरण गरिने भएको छ ?  ,३१७
 १३औँ सागको प्रत्यक्ष प्रसारण गर्ने ? अधिकार कसले प्राप्त गरेको छ  , एनके मिडिया भेन्चर प्रालि
अन्तराष्ट्रिय  फौजदारी अदालत को सदस्यता त्याग्ने राष्ट्र कुन को ?   , बुरुण्डी
Which is the largest office build in the world?  ,"The Pentagon, USA"
बार्हकुने ताल कुन जिल्लामा पर्दछ ?  ,Dang
 २०७१ मा लक्ष्मीप्रसाद देवकोटाको कतिऔ जन्म जयन्ती मनाइयो ?  ,106
युनानको प्रमुख बाली के थियो ?  ,गहु
पृथ्वीनारयण शाहको जन्म कहाँ भएको थियो ?  ,गोरखा
पृथ्वीनारयण शाहको देहावसान कहाँ भएको थियो ?  ,नुवाकोटको देवीघाट
हाल नेपालमा कति वटा औधोगीक रहेका छन् ?  ,११
राष्ट्रिय कृषि गणना २०६८ को प्रतिवेदन अनुसार पछिल्लो १० वर्षमा कुखुरा पालन ४९ प्रतिसतले बढेको छ भने बाख्रा पालन कति प्रतिसतले बढेको छ ?  ,59 %
World Bank ले हालै सार्बजनिक गरेको प्रतिबेदन अनुसार (2012 AD) मा कुल गार्हस्थ उत्पादन (GDP) को अनुपात मा सबै भन्दा धेरै रेमिटान्स (Remittance) भित्र्याउने मुलुक कुन हो?   ,Tajikistan
भ्यागुते रोग विरुद्ध कुन खोप दिईइन्छ ?  ,DPT
जगदम्बा-श्री  पुरस्कार २०७५ कसलाई  प्रदान गरीयो?  ,वैरागी काइँला
नेपालको कुन ठाउँमा सारस प्रजनन केन्द्र रहेको छ ?   ,कपिलवस्तु
BRICS को 12औ सम्मेलन कहाँ हुदैछ?  ,रुस(सन 2020 मा)
Central Development Region को कती ओटा अञ्चलले चीन र भारत दुवै छोएको छ ?  ,1
माछा नपाइने नदी कुन हो ?  ,Jordan
Darchula जिल्लाको सदरमुकाम कुन हो ?  ,Darchula
पृथ्वीनारयण शाहका पिता राजा नरभूपाल शाह हुन् भने आम को हुन् ?  ,कौसल्यावती
Mona Lisa का चित्रकार को हुन् ?  ,Leonardo Da Vinci
नेपालको पहिलो सहिद कसलाई मानिन्छ ?  ,Lakhan Thapa
चाणक्य को जन्म कहाँ भएको विश्वास गरिन्छ ?  ,तत्कालिन भारत को तक्षसिला
South Africa मा सन् 1994 मा Nelson Mandela को नेतृत्वमा गठित पहिलो राष्ट्रिय सरकारमा कती जना भारतीय मुलका मन्त्री थिए ?  ,11
नेपाल राष्ट्र बैंकका संचालकको कार्यकाल कति वर्षको हुन्छ ?  ,5 वर्ष
SAARC राष्ट्रमा सबै भन्दा पहिले VAT लागु गर्ने राष्ट्र कुन हो ?  ,Pakistan
Which of the below option is not a Storage Device in Computer?  ,Printer
Cotton Gin को अविस्कार कसले गरेका हुन् ?  ,Eli Whitney
बाघ गणना 2075 अनुसार हाल नेपालमा बाघको संख्या कति रहेको छ?  ,235 वटा
नेपालको कुन जिल्लाको आकार हलो को जस्तो छ ?  ,रामेछाप
South Africa मा हाल कुल जनसंख्याको कती प्रतिसत भारतीय छन् ?  ,3 %
Pyuthan जिल्लाको सदरमुकाम कुन हो ?  ,Pyuthan Khalanga
राजगद्दी र प्रेमिका मध्ये एक लाई चुन्नुपर्दा ११ महिनापछि गद्दी त्यागी बिधवा Wallis Simpson सँग बिहे गर्ने बेलायती राजा को हुन् ?  ,Edward VIII
पृथ्वीनारयण शाहको प्रथम विवाह वि.स.१७९४ मंसिरमा कोसँग भएको थियो ?  ,इन्द्रकुमारी
सरकारी कार्यालय बिहान १० बजे देखि बेलुका ५ बजे सम्म खुल्ने चलन कसले चलाएका हुन् ?  ,Dev Shamsher
मूल्य अभिवृदी कर कहिले १० प्रतिसत बाट १३ प्रतिसत बनाइएको हो ?  ,2062 Baishak 2
अर्थशास्त्रमा लगानीको सिद्धान्त कुन अर्थशास्त्री संग सम्बन्धित छ ?  ,David Ricardo
राष्ट्रिय आयमा कृषि क्षेत्रको योगदान कति प्रतिसत रहेको छ ?  ,39.3 %
Which player holds the record of highest no. of goal in Worldcup?  ,Miroslav Klose
Muttiah Murali Dharan is related with which sport?   ,Cricket
१३औँ दक्षिण एसियाली खेलकुद को लोगो र मस्कट का डिजाइनर को हुन्?   ,भोलानाथ पौडेल
"""खोलौ बैंक खाता राष्ट्रिय अभियान"" को सुरुवात देखि भएको हो?   ",बि स  २०७६  बैशाख १
अमलेखगञ्जको पुरानो नाम के हो ?  ,भिक्षाखोरी
लिबियाली शासक कर्णेल गधपिको हत्या कहिले भएको थियो ?    ,20 October 2011
"राजा जनकको उपदेशले शान्ति, अहिंशा, समानता, सोतन्त्रता र ……… को सन्देश समाजलाई प्रदान गरेको छ।  ",एकता
पंचायती व्यबस्ताको अन्तिम प्रधानमन्त्री को हुन् ?  ,Lokendra Bahadur Chand
एक लाख यूरो राशिको रिस्क रेड़कसन अवार्ड पाउने नेपाली सस्था कुन हो ?  ,नेपाल नर्सिङ्ग संघ
नेपाल मा सर्वप्रथम निजीकरण ऐन कहिले जारी भएको हो ?  ,वि. स. २०५० साल
पित्ताशय नहुने जीव कुन हो?  ,उट
Maradona is related with?  ,Football
महमा कति प्रतिशत पानी हुन्छ ?  ,70
संयुक्त अधिराज्य बेलायतको वेल्स ब्रेकनमा आयोजित सैन्य अभ्यास (२०१९) मा स्वर्णपदक प्राप्त गर्ने सैन्य टोली कुन हो ?  ,नेपाली सेना
कुमेरु महासागरको औसत गहिराई कति छ ?  ,2400 M
Which is the Capital of USA?  ,"Washington, D.C."
Mahakali अञ्चलमा कति ओटा जिल्लाहरु छन् ?  ,4
विश्वभर बोलिने चलनचल्तीका भाषा मध्ये नवौ स्थानमा कुन भाषा पर्दछ ?  ,पंजाबी
"भगवान Gautam Buddha ले सत्यको खोजको लागी दरबार, घर-परिवार त्याग्दा उनको उमेर कती थियो ?  ",29
नेपाली सेनामा अधिकृत भएको लगभग कती वर्ष सेवा अवधि पुगेपछि सेनानी (मेजर) बन्न सकिन्छ?  ,10 Yrs
नेकपा एमाले को आठौ महाधिवेसन बाट अध्यक्षमा को चुनिए ?  ,Jhalanath Khanal
सिक्का नभएको देशः  ,Paraguay
खेतिपातीको लागी सबै भन्दा कम उब्जाउ हुने माटो कुन हो?  ,बलौटे पत्थरिलो माटो
Khaptad राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?  ,225 Sq. KM
How many bones are there invertbrate?  ,33
Theory of Electromanetic Waves सिद्धान्तका पप्रबक्ता को हुन् ?  ,Maxwell
हाल राष्ट्रिय गौरव का आयोजना कति वटा छन् ?   ,२२
 नेपालमा पहिलोपटक टेस्ट ट्युब प्रविधिबाट शिशुको जन्म कहिले भयो ?  ,वि.सं. २०६१ फाल्गुन २०
Africa महादेशमा भूपरिबेस्ठित (Landlock) राष्ट्रहरु कति छन् ?  ,15 Countries
Far Western Development Region मा पर्ने अञ्चल कुन हो ?  ,Seti
लेकको  जंगललाई के भनिन्छ ?  ,पाल
England का Catholic हरु लाई सहुलियत दिन र Catholic धर्म प्रचार गर्ने उदेश्य ले James II ले 1687 AD मा गरेको घोषणा लाई के भनिन्छ?  ,प्रथम धार्मिक अनुग्रहण घोषणा
 नालापानीको युद्धमा कसले आफ्नो विरता देखाएका थिए ?  ,Balbhadra Kunwar
कुन मुलुकलाई भाषाको चिडियाघर भनिन्छ ?  ,भारत
अरस्तु कति वर्ष को उमेर मा अध्ययन गर्न एथेन्स गएका थिए ?  ,16
कार्ल मार्क्सको मिर्तु कहाँ भएको थियो ?  ,बेलायत
साम्यबादी बिचारको सबैभन्दा महातोपूर्ण आधार कुन हो ?  ,भौतिकबाद
नेपाल राष्ट्र बैंकको संचालक समितिमा बढीमा कति जना सदस्य हरु रहन्छन ?  ,7 जना
कृषिमा पशु क्षेत्रको योगदान कति रहेको छ ?  ,28 %
यूईएफए प्लेयर अफ दि सिजनको उपाधि-२०१९ कसले प्राप्त गरेकाछन?  ,भर्जिल भान डाइक
लोयी Institute ले  २०१९ अनुसार संसार को सबैभन्दा बढी कुटनीतिक समन्ध स्थापित गर्ने देश कुन हो?  ,चिन
विश्व वन्यजन्तु कोष (WWF) को प्रधान कार्यालय कहाँ रहेको छ ?  ,स्वीट्जरल्यान्ड
सबै भन्दा चम्किलो ग्रह कुन हो ?  ,Venus
संसारकै सबै भन्दा प्रसिद्ध Statue of Liberty को उचाई कति छ ?  ,46 M
भगवान Gautam Buddha को जन्मस्थान Lumbini कुन जिल्लामा पर्दछ ?  ,Rupandehi
भगवान Gautam Buddha ले कहिले ज्ञान प्राप्त गरेका थिए ?  ,इशापूर्व ५२८ मा बैशाख पुर्णिमाको दिन
प्रजातन्त्र प्रादुभावपछिको पहिलो मन्त्रिमण्डलमा कति सदस्य थिय ?  ,10
Abraham Lincoln को पिताको पेसा के थियो ?  ,किसन / कार्पेन्टर
नेपाल सरकारको कार्य विभाजन निमावाली कसले सुइक्रित गर्दछ ?  ,मंत्रिपरिसद
Birgunj भन्सार भारतको कुन सहर संग जोडिएको छ ?  ,Raxaul
नेपाल लाई सबै भन्दा धेरै ऋड़ र अनुदान दिने राष्ट्र कुन हो ?  ,जापान
हाल विश्वमा कति देशमा 'पाटे बाघ' पाइन्छ? (Data 2014)  ,4
१ लाख अमेरिकी डलरको SAARC Literary Award पाउने नेपाली साहित्यकार को हुन् ?  ,सुमन पोख्रेल
स्थानीयतह को  निर्बाचन बाट नेपाल मा कतिजना जनप्रतिनिधि निर्बाचित भएका छन् ?  ,३७७१३
"""गौरीफान्टा नाका"" नेपालको कुन जिल्लामा पर्दछ ?  ",Kailali
Bhojpur जिल्लाको सदरमुकाम कुन हो ?  ,Bhojpur
Which is the Capital of Canada?  ,Ottawa
बाइसी राज्यको केन्द्र कुन ठाउँ थियो ?  ,जुम्ला
कसलाई नेपालका युवा कवि  भनिन्छ ?  ,  मोतीराम भट्ट
"""Group-20"" के संग सम्बन्धीत  छ ?   ",आशीयान
राणाकालमा नेपाल अधिराज्यलाई कति क्षेत्रमा विभाजन गरिएको थियो ?  ,९
सुकरातले सानै देखि के कुरा को आकांक्षा राख्दथे ?  ,प्रकृति बिज्ञान
Who is the first lady Speaker of Nepal?  ,Onsari Gharti Magar
U.N.O. को शान्ति कायम गर्ने सेनालाई के भनिन्छ ?  ,Blue Halmet
नेपालमा बिदेसी सहायता को संस्थागत बिजारोपण कहिले देखी भएको हो ?  ,1951 AD
"नेपाल सरकार द्वारा ओसारपसार, निर्यात र कटानी गर्न प्रतिबन्ध लगाएको वन पैदावर कुन हो ?  ",सबै
राष्ट्रिय निकुञ्ज तथा वन्यजन्तु संरक्षण ऐन अनुसार कति प्रजातिका घस्रने जीव जन्तुको कानुनी प्रक्रिया द्वारा संरक्षण गरिएको छ ?   ,३
भुटानको  सरकारी  विमान सेवालाई के भनिन्छ ?  ,Durk airways
ऐतिहासिक सिन्धुलीगढीमा युद्ध सङ्ग्रहालयको शिलान्यास कहिले गरिएको हो ?  ,विसं २०७६ कात्तिक २४
भारतले हालै नयाँ राजनीतिक नक्सा कहिले प्रकाशित गरेको हो ?   ,सन् २०१९ नोभेम्बर ३
Myagdi जिल्लाको सदरमुकाम कुन हो ?  ,Beni
Udayapur जिल्लाको सदरमुकाम कुन हो ?  ,Triyuga
पहाडहरुको देश भनेर चिनिने देश नेपालमा कती ओटा पहाड रहेका छन् ?  ,835
फ्रान्सेली राज्यक्रान्तिलाई सबै किसिमका लेखकले तयार गरेका थिए। यस कालका साहित्य राज्यलाई नस्ट गर्नका लागि राम्रो गोल बारुद समान थिए। यस भन्दा पहिले क्रान्ति हरु यती बढी सब्द र सुत्रहरु ले कहिले पनि सुसज्जित भएका थिएनन्। यो भनाइ कसको हो ?  ,Katbali
नेपालका सार्वप्रथम  नेपाली भाषामा पि.एच.डी गर्ने  महिला को हुन् ?  ,सुभद्रा दाहाल
सिंह दरबारमा आगलागी हुँदा नेपालका प्रधानमन्त्री को थिए ?  ,Kirtinidhi Bista
Confucius को जन्म कहिले भएको थियो?  ,इसापूर्व 551
How many temporary members are there in security council of U.N.O.?  ,10
ज्योतिष शास्त्रअनुसार योग कतिवोटा हुन्छ ?   ,27
What is the extension of Photoshop?  ,PSD
नेपाल संयुक्त राष्ट्र संघ को सुरक्षा  परिषद को  अस्थाई सदस्य राष्ट्र कति पटक भएको छ ?  ,२ पटक
कागेल विमानस्थल कुन जिल्लामा पर्दछ ?  ,Solukhumbu
एशिया बाहिर अधिकतम हिन्दु बसोबास भएको अर्को मुलुक कुन हो ?  ,मौरिसस
अमेरिका कसले पत्ता लगाएका हुन् ?  ,Christopher Columbus
Which Nepali got VC after Second Worldwar in the war of Bornio?  ,Ram Bahadur Limbu
नेपाल एकीकरण हुनु पूर्व कति वटा राज्यमा बिभक्त थियो ?  ,52
महात्मा गान्धी कहिले  South Africa  बाट स्वदेश फ़र्के ?  ,1914
नेपालका सार्वप्रथम  पि.एच.डी. Holder महिला को हुन् ?  ,डा.प्रभा बस्नेत
"महेन्द्रबाट नेपाल अधिराज्यको संबिधान,२०१५ कहिले जारी भएको थियो ?  ",२०१५ फागुन १
Security खरिद बिक्रि केन्द्र कहिले देखि नेपाल ऋणपत्र विनिमय बजार लिमिटेड मा रुपान्तरित भएको हो?  ,BS 2050
From the below list which country is not a permanent member of security council of UN?  ,Germany
बच्चाहरुलाई क्षय रोग बाट बचाउन कुन खोप लगाइन्छ?  ,BCG
मुगु कर्णालीको लम्बाई कति रहेको छ ?  ,384 km
Bheri अञ्चलमा पर्ने जिल्ला कुन हो ?  ,Jajarkot
करुवाको लागि पाल्पा प्रख्यात छ भने जुनारको लागि कुन ठाउँ प्रख्यात छ?  ,Sindhuli
1749 AD मा प्रकासित मानवमा भएका गुणको तुलना सभ्यतासंग गरिएको प्रख्यात लेख कसको हो ?  ,Russo
गौतम बुद्धले कति वर्षको उमेरमा देह त्याग गरेका थिए ?  ,८०
अमेरिकी गृह यूद्ध को अन्त्य कहिले भएको थियो ?  ,1865 AD April 9
राजतन्त्र भएको एकमात्र सार्क राष्ट्र कुन हो ? (Data of 2014)  ,Bhutan
APEC (Asia-Pacific Economic Cooperation) Summit 2010 मा सदस्य राष्ट्र बीच स्वतन्त्र व्यापार तथा लगानीमा उदारीकरण अभिवृद्धि गर्ने सहमती भएको दस्ताबेज लाई केन भनि बुझिन्छ ?  ,Yokohama Vision
नेपालमा पहिलोपटक अत्याधुनिक सुविदा सहितको पशुपन्छी सम्बन्धि शीक्षण अस्पताल कहाँ निर्माण गर्न  थलियको छ ?  ,त्रिपुरेश्वोर काठमाडौँ
Bank of the Year 2014 is..........?  ,Global IME Bank
Theory of Relativity का प्रतिपादक को हुन् ?  ,Albert Einstein
 UNHCR को स्थापना कहिले भएको थियो ?  ,सन् १९५३
बैंक अफ दी एयर - २०१९ कुन बैंक हो ?  ,मेगा बैंक नेपाल लिमिटेड
पृथ्वीको कती ओटा उप-ग्रह हरु छन् ?  ,1
भारत छोड आन्दोलन (Quit India Movement) कसको नेतृत्वमा मा भएको थियो ।  ,Mahatma Gandhi
२०७४ जेष्ठ २३ मा प्रधानमन्त्रीमा निर्बाचित भयका सेरबहादुर देउवाले दोस्रोपल्ट  मन्त्रिपरिसदको विस्तार कहिले गरे ?  ,बि सं. २०७४ साउन ११ गते
नेपालका पहिलो उप प्रधानमन्त्री को हुन् ?  ,Subarna Shumsher Ja. Ba. Ra.
नेपाली उत्पादित बस्तुहरुमा Canada निर्यात गर्दा कुनै पनी भन्सार सुल्क नलिने गरी Nepal र Canada बीच सम्झौतामा कहिले हस्ताक्षर भयो ?  ,"BS 2060, Baishak 30"
Hashim Amla is related with?  ,Cricket
Who is the founder of Facebook?  ,Mark Zuckerberg
Shanghai Expo 2010 को समापनमा नेपालको तर्फ़ बाट को सहभागी हुनु भएको थियो ?  ,President Dr. Ram Baran Yadav
नदी नै नभएको सार्क राष्ट्र कुन हो?  ,Maldives
"""आमाको काखमा"" नाटकका नाटककार को हुन् ?   ",मोदनाथ प्रश्रित
 मार्क्सको सर्बश्रेष्ठ रचना …… लाई साम्यबादीको बाईबल भनिन्छ ?  ,Das Capital
"""शान्तिको लागि शिक्षा"" अभियान बोकेर देशव्यापी सांगीतिक यात्रा गर्दै हिडिरहेको कुन सांगीतिक समूह हो ? (2070 BS / 2013 AD)  ",Nepathya
व्यवसायिक रुपमा 5G नेटवर्क सेवा संचालन गर्ने प्रथम देश  कुन हो ?   ,दक्षिण कोरिया
सन २०१६ मा युरोकप प्रतियोगिता कुन देशमा आयोजना भएको थियो??  ,फ्रान्स
Okhaldhunga जिल्लाको सदरमुकाम कुन हो ?  ,Okhaldhunga
Ramechhap जिल्लाको सदरमुकाम कुन हो ?  ,Manthali
हाल सम्म नेपालमा कति जना राष्ट्रिय बिभुति हरु छन् ? (Till 2014 AD)  ,16
त्रिमूर्ति निकेतनद्दारा पाँच लाख रुपियाँ राशीसहितको शताब्दी पुरुषको सम्मान कसलाई प्रदान गयो ?  ,सत्यमोहन जोशी
सीता कसकी पत्नी हुन् ?  ,रामचन्द्र
नेपाल र आइभरीकोस्टबीच कूटनीतिक सम्बन्ध कहिले कायम भएको हो ?  ,२०१७ जून १६
नेपाल को आर्थिक बिकाशमा तिब्रता ल्याउने उदेश्यले कहिले देखी विकाशतर्फ कार्यक्रम बजेटको सुरुवात गरिएको थियो ?  ,2026 BS
कति वर्षको उमेरमा मानिसको मस्तिष्कको विकास रोकिन्छ ?  ,15
James Hargreaves ले Spinning Jenny को आविस्कार कहिले गरेका थिए ?  ,1765 AD
ओलम्पिक तेकन्दो प्रशिक्षण मा पदक जित्ने पहिलो नेपाली खेलाडी को हुन् ?   ,बिधान लामा
"टेनिश खेल विमब्लेडन (Wimbledon) को उपाधि सबैभन्दा बढी ""लगातार"" जित्ने खेलाडी को हुन् ?  ",William Renshaw
रारा तालबाट निस्केको खोलाको नाम के हो ?  ,खात्यंग खोला
Which Zone has the highest no. of Districts in Nepal?  ,Bagmati
