Question,Answer1,Answer2,Answer3,Answer4,Correct
Dhanusa जिल्लाको सदरमुकाम कुन हो ?,Malangwa,Charikot,Jaleshwor,Janakpur,
सप्तकोसीको सबभन्दा सानो नदी कुन हो ?,Dhudkoshi,Likhu,Arun,Saptakoshi,
नेपालको औधोगिक राजधानी भनेर कुन सहरलाई चिनिन्छ ?,Biratnagar,Butwal,Mahendranagar,Pokhara,
लाटोकोसेरो लाई के को प्रतिक मानिन्छ ?,बुद्धि,शुभ,बिद्या,शक्ति,
राजा त्रिभुवनको जन्म कहिले भएको हो ?,वि.स. १९६३ अषाढ १७,वि.स. १९६३ अषाढ १९,वि.स. १९६३ अषाढ १६,वि.स. १९६३ अषाढ १५,
सबै भन्दा कम उमेरमा राजा हुने को हुन् ?,Rana Bahadur Shah,Pirthivi Bir Bikram Shah,Girvan Yuddha Bikram Shah,Rajendra Bir Bikram Shah,
गौतम बुद्धले ज्ञानको प्रचार कुन ठाउँमा गरे ?,भारतको बनारस,भारतको गया,भारतको सारनाथ,भारतको काशी,
२००७ सालको प्रजातन्त्र पछि गठन भएको मन्त्रिमण्डल को अर्थमन्त्री को भए ?,सुवर्ण समशेर,गणेशमान सिंह,टंकप्रशाद आचार्य,बबर समशेर,
"सर्वप्रथम "" महाराजाधिराज "" को पदवी धारण गर्ने राजा को हुन् ?",कुलमण्डल शाह,अंशुबर्मा,पृथ्वीनारायण शाह,त्रिभूवन,
पृथ्वीनारयण शाहको जन्म कहाँ भएको थियो ?,लम्जुङ्,गोरखा,काठमाडौँ,नुवाकोट,
भगवान रामचन्द्रको निवासलाई के भनिन्छ ?,दशरथ सागर,अशोक बाटिका,साकेत,श्रीकुञ्ज,
दुर्गा(भगवती) को वाहन के हो ?,Lion,Elephant,Crocodile,Eagle,
"""मोह"" उपन्यास लेखक कुन गैरनेपाली श्रस्टा हुन ?",विकलचन्द्र आचार्य,जीवा लामिछाने,उमेश पाण्डेय,शेष घले,
कुन सभ्यतामा सेनामा प्रतियोगितात्मक प्रणाली अप्नैएको थियो ?,रुसी सभ्यता,चिनिया सभ्यता,भारतको सभ्यता,मिश्रको सभ्यता,
इसाई धर्म ग्रन्थमा बर्णन गरिएका गब्रियेल को थिए ?,Father of Jesus Christ,Christian धर्मका पहिलो गुरु,देवदुत,Jesus Christ का उत्तराधिकारी,
Who is the writer of the book History of Nepal?,John Kerry,Mark Wright,Daniel Wright,Steve Jhon,
नागार्जुन दरबार कसले निर्माण गरेका थिए ?,Bhim Shumsher,Juddha Shumsher,Chandra Shumsher,Dev Shumsher,
सयुक्त राष्ट्र संघको अहबानमा कुन वर्षलाई अन्तराष्ट्रिय मानब अधिकार बर्षको रुपमा मनाईएको थियो ?,1980 AD,1966 AD,1968 AD,1962 AD,
अमरसिह थापाको निधन कहाँ भएको थियो ?,गोसाईकुण्ड,काठमाडौँ,देवघाट,देवीघाट,
Confucius को जन्म कहिले भएको थियो?,इसापूर्व 555,इसापूर्व 565,इसापूर्व 551,इसापूर्व 575,
महात्मा गान्धीको हत्या कहिले भयो ?,सन् १९४८ जनवरी २०,सन् १९४८ जनवरी ३१,सन् १९४८ जनवरी २२,सन् १९४८ जनवरी ३०,
""" सदा जीवन उच्च विचार "" यो कसको भनाई हो ?",जोन मिल्टन,कार्ल मार्क्स,प्लेटो,महात्मा गान्धी,
"महेन्द्रबाट नेपाल अधिराज्यको संबिधान,२०१५ कहिले जारी भएको थियो ?",२०१५ माघ १,२०१५ चैत्र १,२०१५ फागुन १,२०१५ बैशाख १,
सार्कको कतिऔं धारामा सचिवालयको व्यवस्था गरिएको छ ?,धारा 2,धारा 7,धारा 6,धारा 8,
नेपाल र आइभरीकोस्टबीच कूटनीतिक सम्बन्ध कहिले कायम भएको हो ?,२०१७ जून १६,२०१६ जून १७,२०१६ जून १६,२०१७ जून १७,
१२ बर्षको उमेरमा मोहनदास करमचन्द (महात्मा गान्धी) को बिबाह को संग भएको थियो ?,चन्द्रावती,सुगन्धवा,कस्तुरवा,फुलमाया,
कौटिल्य को कुन ग्रन्थ लाई पुर्विय शासन पद्दतीको important कृति मानिएको छ ?,अर्थशास्त्र,नीतिशास्त्र,राजनीतिशास्त्र,कुनै पनि होइन,
सरकारी कार्यालय बिहान १० बजे देखि बेलुका ५ बजे सम्म खुल्ने चलन कसले चलाएका हुन् ?,Bhim Shamsher,Dev Shamsher,Padma Shamsher,Mohan Shamsher,
Abraham Lincoln को पिता को नाम के थियो ?,Harry Lincoln,Thomas Lincoln,James Lincoln,Steve Lincoln,
Abraham Lincoln कहिले Congress सदस्य भए ?,1839 AD,1840 AD,1842 AD,1847 AD,
आधुनिक कालमा कौटिल्यको अर्थसास्त्र को खोज कसले गरेका हुन् ?,डा. रामा सास्त्री,डा. शाम सास्त्री,डा.  रामचन्द्र सास्त्री,डा. हरिबोध सास्त्री,
लिछ्बिकालिन नेपलकों सासन व्यवस्ता कुन प्रकारको थियो ?,गणतन्त्रामक,कुनै पनि होइन,राज्तान्त्रमक,दुबै,
कृतिपुर कहिले विजय प्राप्त गर्न सकियो ?,१८२२ चैत्र ५,१८२२ चैत्र ०१,१८२२ चैत्र ३,१८२२ चैत्र १०,
दुर्गम क्षेत्र बिकाश कार्यक्रम कतिओटा जिल्लामा लागु गरिएको छ ? (Data: 2013),22,18,20,24,
सार्बजनिक संस्थानहरु मध्ये ब्यापारिक क्षेत्रअन्तर्गत रहेका संस्थानहरुको संख्या कति छ?,8,12,10,6,
सानिमा बैकंले प्रत्येक बर्ष पत्रकारिता क्षेत्रमा उत्कृष्ट योगदान पुर्याउने व्यक्तिलाई पुरस्कृत गर्ने गरी स्थापना गरको पाँच लाख रुपियाँ राशीको पुरस्कार कुन हो ?,सानिमा वर्ष पत्रकार,सानिमा बिशिस्ट पत्रकारिता पुरस्कार,नेपाल राष्ट्रिय पत्रकारिता पुरस्कार,सानिमा राष्ट्रिय पत्रकारिता पुरस्कार,
नेपालमा बिदेसी सहायता को संस्थागत बिजारोपण कहिले देखी भएको हो ?,1977 AD,1951 AD,1959 AD,1962 AD,
क्रेडिट कार्ड प्रयोग गर्ने नेपालको पहिलो बैँक कुन हो ?,Himalayan Bank,Nabil Bank,Everest Bank,Global IME Bank,
तिनाउ' जलविघुत आयोजना कुन जिल्लामा पर्दछ।,Nawalparasi,Rupandehi,Sarlahi,Kapilbastu,
सोयाबिन (भटमास) को तेल नेपाल मा कुन दुई मुलुक बाट आयात हुन्छ ?,Mongolia and Thailand,India and China,India and Sri Lanka,Brazil and Argentina,
नेपाल राष्ट्र बैंकको संचालक समितिमा बढीमा कति जना सदस्य हरु रहन्छन ?,6 जना,7 जना,5 जना,8 जना,
नेपाललाई पहिलो बैदेसिक सहायता कुन कार्यक्रम स्वरूप प्राप्त भएको थियो ?,Poverty Alleviation,Arms Management Program,Point Four Program,Women Empowerment,
पारस खड्का कुन खेल संग सम्बन्धित छन् ?,Volleyball,Cricket,Football,Swimming,
हाल Australia मा कती प्रतिसत नागरिक साक्षर छन् (2012 /2013) ?,80 %,99 %,92 %,75 %,
सन् २०१३ को ८६ औ ओस्कार अवार्ड कुन चलचित्रलाई प्रदान गरिएको थियो ?,Twelve years a slave,Titanic,Avatar,Babys Day Out,
अमेरिकी अन्तरिक्ष यान नासाको यान क्यूरियोरिटी मार्फत कुन ग्रहको अन्वेषण गर्ने काम गरिरहको छ ?,Venus,Neptune,Jupiter,Mars,
Who is the founder of Microsoft?,Mark Zuckerberg,Bill Gates,Sergey Brin,Steve Jobs,
Baikuntha Manandhar is related with which sport?,Karate,Athletics,Cricket,Hockey,
नेपालको कुन FM Radio ले हरेक नेपाली गीत बजाए बापत अधिकारिक रुपले स्रस्टालाई Royalty दिने गर्दछ ?,Radio Nepal,Hits FM,Kantipur,Star FM,
सबै भन्दा धेरै फुल पर्ने चरा कुन हो ?,काग,भँगेरा,तित्रा,चिल,
सन् २०२२ को FIFA विश्वकप कुन देशमा हुदै छ ?,USA,England,Qatar,Russia,
प्रसिद्ध वैज्ञानिक आइन्सटाइनले कुन देशको राष्ट्रपति बन्ने प्रस्तावलाई इन्कार गरेका थिए ?,इक्वेडर,इजरायल,प्यालेस्टाइन,जर्मनी,
थारु महिलाको मुख्य पर्व कुन हो ?,जितिय पर्व,लोशार,फालो,कुनै पनि होइन,
"नेपाल सरकार द्वारा ओसारपसार, निर्यात र कटानी गर्न प्रतिबन्ध लगाएको वन पैदावर कुन हो ?",साल,चाँप,खयर,सबै,
बरुण ग्रहका कतिवटा अपग्रह छन् ?,9,16,10,15,
सामाजिक सञ्जाल फेसबुकको सुरुवात कहिलेदेखि भएको हो ?,सन् २००४ फेब्रुअरी ४,सन् २००४ फेब्रुअरी ५,सन् २००६  फेब्रुअरी ४,सन् २००५ फेब्रुअरी ४,
वि.सं. २०७४ मा प्रदान गरिएको बसुन्धारा श्री पुरस्कारबाट सम्मानित हुने स्रष्टा को हुन् ?,प्रा.डा. गणेश पन्थी,युबराज चुडाल,प्रा.डा. तारानाथ शर्मा,डा. सुनिल प्रकाश पौडेल,
स्थानीयतह को  निर्बाचन बाट नेपाल मा कतिजना जनप्रतिनिधि निर्बाचित भएका छन् ?,३६५८९,५३७०१,३७७१३,३६०३७,
विश्वकै इतिहासमा सबैभन्दा उचाइको स्थानमा मन्त्रिपरिषद्को बैठक कहिले बसेको थियो ?,वि.सं. २०६८  मङ्सिर १९,वि.सं. २०६४ मङ्सिर १९,वि.सं. २०६६ मङ्सिर १९,वि.सं. २०६७  मङ्सिर १९,
जगदम्बा-श्री  पुरस्कार २०७५ कसलाई  प्रदान गरीयो?,लीलबहादुर क्षत्री,वैरागी काइँला,योगेशराज,श्री दुर्गा बराल (वात्स्यायन),
Nepal visit year 2020 को  मस्कट मा कुन प्रतिक रहेको छ ?,गैडा,यति,अर्ना,बाघ,
प्रकास एक सेकेन्डमा कति दुरी पार गर्छ ?,५ लाख कि.मि,८ लाख कि.मि,६ लाख कि.मि,३ लाख कि.मि,
पृथ्वीमा कति ओटा महादेश हरु छन् ?,5,8,7,6,
Dailekh जिल्लाको सदरमुकाम कुन हो ?,Guleria,Birendranagar,Nepalgunj,Dailekh,
बिश्वकै सबैभन्दा लामो केबुल पुल कहाँ निर्माण गरिएको छ ? (जुन 1104 मिटर लामो छ),अमेरिका,रुस,जर्मन,जापान,
पृथ्वीको सतह माथि वायु कति KM टाढा सम्म फैलिएको छ ?,996 KM,905 KM,855 KM,960 KM,
Which is the Capital of Canada?,Toronto,Montreal,Ottawa,Vancouver,
Which is the Capital of Norway?,Muscat,Oslo,Lima,Manila,
पृथ्वीको भू-मध्ये रेखिये ब्यास कति वर्ग कि. मि. छ ?,१२०१३६ कि. मि.,१२७५६ कि. मि.,१२००६ कि. मि.,१३५६६ कि. मि.,
क्षेत्रफलको हिसाबमा नेपालको सबै भन्दा सानो जिल्ला भक्तपुरको क्षेत्रफल कती छ ?,११२ वर्ग कि. मी,११९ वर्ग कि. मी,१३० वर्ग कि. मी,१४८ वर्ग कि. मी,
Which is the second largest Desert in the world?,Gobi,Arabian,Thar,Sahara,
सबै भन्दा ठुलो उच्च समस्थल (पमिर) कुन हो ?,Meghalaya,Tibet,Namche Bazaar,Manang,
पृथ्वीनारयण शाहकी आमा कति औ रानी थिइन ?,कान्छी,माइली,साहिली,जेठी,
चरांग दरबार कहाँ रहेको छ ?,Mustang,Manang,Bajura,Bajhang,
शीतला रोग लागेर मर्ने नेपालका राजा को हुन् ?,राजेन्द्र विक्रम शाह,पृथ्वी वीर विक्रम शाह,गिर्वाणयुद्ध विक्रम शाह,रणबहादुर शाह,
सबै भन्दा राम्रो मानिएको चित्र Last Supper कसले बनाएका हुन् ?,Aristotle,Chanakya,Leonardo Da Vinci,Araniko,
भगवान Gautam Buddha ले कहिले ज्ञान प्राप्त गरेका थिए ?,इशापूर्व ५३० मा फाल्गुन पुर्णिमाको दिन,इशापूर्व ५३५ मा असार पुर्णिमाको दिन,इशापूर्व ५२८ मा बैशाख पुर्णिमाको दिन,इशापूर्व ५३८ मा कार्तिक पुर्णिमाको दिन,
भारत छोड आन्दोलन (Quit India Movement) कसको नेतृत्वमा मा भएको थियो ।,Mahatma Gandhi,Jawahar Lal Neheru,Bhagat Singh,Subash Chandra Bos,
भगवान Gautam Buddha को जन्मस्थान Lumbini कुन जिल्लामा पर्दछ ?,Rupandehi,Kaski,Nawalparasi,Gulmi,
France मा कुन कुन धर्मावलम्बी हरुको बसोबास थियो? (Around 17th Century),Protestant,Catholic,Huguenot and Jewish,सबै उत्तर ठिक  छन्,
"""आशुकवि"" कसलाई भनिन्छ ?",सम्भुप्रसाद  देवकोटा,धर्मराज थापा,भानुभक्त आचर्य,सोमनाथ सिक्देल,
सबै भन्दा लामो महाकाव्य कुन हो जसमा १ लाख श्लोक छन् ?,Shree Swasthani,Ramayan,Bhagwat Geeta,Mahabharat,
सरस्वती नाच कुन जातिसँग सम्बन्धित छ ?,Tamang,Sherpa,Limbu,Rai,
आफूलाई जिर्पा भन्न रुचाउने जाति कुन हो ?,Kumai,Dhimal,Jirel,Gurung,
भगवान Gautam Buddha को जन्म नेपालको कुन ठाउमा भएको हो ?,Janakpur,Bhairihawa,Nepalgunj,Lumbini,
सुकरातले सानै देखि के कुरा को आकांक्षा राख्दथे ?,व्यापार,प्रकृति बिज्ञान,चिकित्सक,संगीत,
नेपाल सरकारको कार्य विभाजन निमावाली कसले सुइक्रित गर्दछ ?,प्रधानमन्त्रि,मंत्रिपरिसद,सभामुख,संसद,
महान दार्सनिक Confucius को मृत्यु कहिले भएको थियो ?,ईसापुर्व ४५०,ईसापुर्व ४६०,ईसापुर्व ४६३,ईसापुर्व ४७९,
पृथ्वीनारयण शाहको देहावसान कहिले भयो ?,वि.स.१८३१ मार्ग ४,वि.स.१८३१ मार्ग २,वि.स.१८३१ मार्ग ३,वि.स.१८३१ मार्ग १,
सिंह दरबारमा आगलागी हुँदा नेपालका प्रधानमन्त्री को थिए ?,Kirtinidhi Bista,Dr. K I Singh,Surya Bahadur Thapa,Lokendra Bahadur Chand,
औद्योगिक क्रान्ति कुन देशबाट सुरु भएको थियो?,England (UK),France,Germany,Russia,
संबिधानसभा मा नेपाल सरकार (मन्त्रिपरिषद) ले मनोनित गर्ने सदस्य संख्या कति हो ?,28,20,26,22,
महात्मा गान्धीको जन्म कहाँ भएको थियो ?,भारतको गुजरात राज्य,भारतको पन्जाब राज्य,भारतको बिहार राज्य,भारतको तमिलनाडु राज्य,
कोत पर्व कहिले भएको थियो ?,वि. स. १९०५ कार्तिक ८ गते,वि. स. १९०३ असोज २ गते,वि. स. १९०८ असोज २१ गते,वि. स. १९०० पुस १५ गते,
Socrates कहिले परिषद्को सदस्य भएका थिए ?,इसपुर्व 600,इसपुर्व 445,इसपुर्व 488,इसपुर्व 405,
अर्थशास्त्र पुस्तक कसले लेखेका हुन् ?,Alfred Marshall,Alberto Alesina,Adam Smith,चाणक्य,
"नेपाल "" WTO "" को सदस्य कहिले भयो ?",वि.स.२०६१ असार ११,वि.स.२०६१ बैशाख ११,वि.स.२०६१ जेठ ११,वि.स.२०६२ बैशाख ११,
भौगोलिक रुपमा भूपरिबेस्ठित (Landlock) नेपालको अर्थतन्त्रको मूल आधार के हो ?,गलैचा,व्यापार,जलस्रोत,कृषि,
माटोको संरक्षणको लागी नेपालमा कहिले देखि संस्थागत प्रयास गरिदै आएको छ ?,BS 2007,BS. 2005,BS 2008,BS 2002,
नेपालमा उद्योग कति प्रकारका छन् ?,७,६,२,८,
दुध संकलन र प्रशोधनमा निजी क्षेत्रको योगदान कती रहेको छ ?,40 %,50 %,60 %,30 %,
Which country dropped the membership of U.N.O. for the first time?,Germany,North Korea,Iran,Indonesia,
नेपालका सार्वप्रथम महिला वरिष्ठ अधिवक्ता को हुन् ?,सपना प्रधान मल्ल,शुशिला सिंह,लक्ष्मी पोख्रेल,शुशिला कार्की,
नेपाललाई प्राकृतिक रुपमा कती क्षेत्रमा बिभाजन गरिएको छ ?,4,3,2,5,
दसौ योजनाको अन्त्य सम्म मा गरिबी को रेखा  मुनि रहेको जनसंख्या लाई कति प्रतिसत मा झार्ने लक्ष्य राखिएको थियो ?,30,32,35,28,
बेलायतको संसदले सन् २०१३ को ग्लोबल डाईभर्सिटी पुरस्कारबाट कसलाई सम्मानित गरेको छ ?,Amitab Bacchan,Irfan Khan,Shahruk Khan,Amir Khan,
नेपाल दुरसंचार प्राधिकरणको तथ्यांक अनुसार नेपालमा मोबिले प्रयोगकर्ता को संख्या कति पुगेको छ ? (2070 BS को Data),एक करोड ९४ लाख ३ हजार दुई सय ७३,एक करोड ८८ लाख ३ हजार दुई सय ७३,एक करोड १५ लाख ५५ हजार दुई सय १७,एक करोड ८० लाख १ हजार दुई सय ०५,
सार्क रास्ट्रको कुल क्षेत्रफल वर्ग किमि छ ?,3354562 km,4369573 km,4562613 km,5462854 km,
सर्प नपाईने देशः,Japan,Brazil,Argentina,Iceland,
नेपालमा कहिलेदेखि विफर उन्मुलन भएको घोसणा गरियो ?,वि.स.२०३७,वि.स.२०३४,वि.स.२०१५,वि.स.२०४०,
सबै भन्दा ठुलो चरा कुन हो ?,Ostrich,Penguin,Emu,Kori Bustard,
Shey Phoksundo राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,3777 Sq. KM,3555 Sq. KM,3666 Sq. KM,3888 Sq. KM,
What is the name of the aircraft sent by America for the research in Jupiter?,Pioneer 20,Pioneer 25,Pioneer 15,Pioneer 10,
Langtang राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,1710 Sq. KM,1819 Sq. KM,1717 Sq. KM,1700 Sq. KM,
भारत को BLUE REVOLUTION के उत्पादन संग सम्बन्धित छ ?,बाख्रापालन,भैसीपालन,माछापालन,मौरीपालन,
Theory of Electromanetic Waves सिद्धान्तका पप्रबक्ता को हुन् ?,Mikel Frado,Maxwell,Newton,Drabin,
अनारको बैज्ञानिक नाम के हो ?,Punica Granatum,Citrullus lanatus,Daucus carota,Phyllanthus emblica,
BRICS को 12औ सम्मेलन कहाँ हुदैछ?,भारत(सन 2020 मा),रुस(सन 2020 मा),चिन(सन 2020 मा),ब्राजिल(सन 2020 मा),
फेवाताल कुन जिल्लामा रहेको छ ?,Rukum,Gorkha,Kaski,Mustang,
पुर्बाअञ्चल विकाश क्षेत्रमा कुन अञ्चल पर्दैन?,Koshi,Mechi,Sagarmatha,Mahakali,
मनोरम पर्यटकीय स्थल सौराहा कुन जिल्लामा  पर्द छ ?,Chitwan,Bardiya,Kaski,Nawalparasi,
नेपालको सबैभन्दा अग्लो स्थानमा रहेको बस्ति कुन हो ?,लुक्ला,नाम्चे,बारपाक,छार्काभोट,
सबै भन्दा धेरै उप-ग्रह हरु भएको ग्रह कुन हो ?,Uranus,Jupiter,Saturn,Uranus,
कर्णाली अञ्चलमा कति ओटा जिल्ला हरु छन् ?,5,6,4,8,
हिमाली प्रदेशमा कति ओटा जिल्लाहरु पर्दछ ?,22,12,16,18,
तल दिएको मध्य Bagmati अञ्चलमा नपर्ने जिल्ला कुन हो ?,Dhading,Rasuwa,Kathmandu,Dolakha,
संसारकै सबै भन्दा प्रसिद्ध Statue of Liberty को उचाई कति छ ?,46 M,50 M,40 M,49 M,
जलबिदुत देहायको मध्ये कुन प्रविधीबाट उत्पादन गरिन्छ ?,माथिका सबै,Run of river system,Canal drop system,Storage Reservior System,
Dhawalagiri अञ्चलमा कती ओटा जिल्लाहरु छन् ?,5,6,4,8,
२०७२ साल बैशाख कति गते ७.८ रेक्टर स्केलको महा-भुकम्प गएको थियो ?,12th Baishak,8th Baishak,15th Baishak,18th Baishak,
How many districts are there in Mechi Zone?,6,3,5,4,
सबै भन्दा ठुलो मरभुमी कुन हो ?,Sahara,Kalahari Desert,Gobi Desert,Arabian Desert,
Divine Comedy का लेखक को हुन् ?,सोलोमन,पिटर अलेबोड,रामासेस,दाँते,
"राजा जनकको उपदेशले शान्ति, अहिंशा, समानता, सोतन्त्रता र ……… को सन्देश समाजलाई प्रदान गरेको छ।",सद्भाव,एकता,मित्रता,भाई-बन्धु,
बैदिक कालमा प्रमुख बाली हरु के के थिए ?,धान र जौ,गहु र जौ,धान र मकै,कोदो र फापर,
"सर्वप्रथम नेपालमा "" राहादानीको "" व्यवस्था कसको पालामा भएको थियो ?",भक्ति थापा,मातृकाप्रसाद कोइराला,भिमसेन थापा,अमरसिह थापा,
कुन जातिको संस्क्रतिमा देवी'पार्वतीलाई 'सुम्नीमाको रूपमा पुजिन्छ ?,Sherpa,Tamang,Rai,Limbu,
जंगबहादुरले कहिले कास्की र लम्जुङ्को श्री-३ महाराजधिराजको पदवी पाएका थिए ?,वि.स १९१३ कार्तिक,वि.स १९१२ श्रावण,वि.स १९१३ असोज,वि.स १९१२ असार,
बिदा  कथाका कथाकार को हुन् ?,शिवबहादुर  राई,गोपाल रिमाल,बिजय  मल्ल,गुरुप्रसाद मैनाली,
रामशाह कहिले गोर्खाका राजा भएका थिए ?,वि.स.१६४४,वि.स.१६६३,वि.स.१६५४,वि.स.१६५५,
Which English General died in the battle of Nalapani with the Nepalese Warriors?,General Noxs,General Aktorlony,General Francis Edward,General Rollo Gillespie,
चिसो पानीको महासागर भन्नाले कुन महासागरलाई बुजिन्छ ?,कुमेरु महासागर,हिन्द महासागर,चन्द्र महासागर,सुमेरु  महासागर,
अरनिकोको बालक कालको नाऊ  अर्थात् वास्तविक नाम के हो ?,अरनिको,बलबाहु,दिर्गबाहु,पाइतस्ते,
श्री त्रिभुवन कहिले राजा होइबक्सेको हो ?,वि.स. १९६८,वि.स. १९६५,वि.स. १९६२,वि.स. १९६९,
अरनिकोको मिर्त्यु कहिले भएको थियो ?,वि.स.१३६३,वि.स.१३५,वि.स.१३६९,वि.स.१३५५,
Motiram Bhatta को जन्म कहाँ भएको थियो ?,Tanahu,Kaski,Kathmandu,Bhaktapur,
पृथ्वीनारयण शाहको देहावसान कहाँ भएको थियो ?,काठमाडौँ,नुवाकोटको देवीघाट,कुनै पनि होइन,चितवन,
महात्मा गान्धीको राजनीतिक विचार केंद्रबिन्धु के हो ?,अहिंशा,दया,माया,धर्म,
Socrates का अनुसार एक मात्र सत्य ज्ञान क हो ?,शान्ति को ज्ञान,आत्मनिष्ठको ज्ञान,आध्यात्मिक ज्ञान,कुनै पनि होइन,
जनाअन्दोलन - २ का प्रथम सहिद को हुन् ?,Umesh Chandra Thapa,Umesh Shah,Dipendra Jha,Ramesh Sha,
"नेपाली सेनामा ""मेजर जनरल"" बन्न (सेवा अवधिले) कती वर्ष सम्म कुर्नुपर्ने हुन्छ?",30,20,25,35,
व्यवस्थापिका संसदको दुई तिहाई मतले विजयी हुँदै नेपाली कांग्रेसका सभापति सुशील कोइराला मुलुकको कतिऔं प्रधानमन्त्री बन्नुभयो? (2070 BS),३७ औं,३८ औं,३५ औं,३२ औं,
नेपाल रेल-वे को सुरुवात कसले गरेका हुन् ?,Mohan Shamsher,Bir Shamsher,Juddha Shamsher,Chandra Shamsher,
बिराटनगरमा राजा बिरेन्द्रमाथि कहिले असफल बम हमला भयो ?,२०३० चैत्र १५,२०३० चैत्र ३,२०३० चैत्र  २०,२०३० चैत्र ५,
६१ नगरपालिका थप भएसगैँ नेपालमा नगरपालिकाको संख्या कति पुगेको छ ? (Data of 2071 BS),205,153,191,170,
What is the amount of Nobel Peace Prize?,20 Million Dollar,16 Million Dollar,12 Million Dollar,18 Million Dollar,
When was an agreement signed with the Three Gorges of China to construct the West Seti Hydroelectricity Project?,"05 Shrawan, 2066","01 Baishak, 2063","12 Falgun, 2070","17 Falgun, 2068",
Where is the headquarter of United Nations Development Program (UNDP)?,"Paris, France","Bern, Switzerland","Zurich, Switzerland","New York, USA",
हाल विश्वमा करीब २१.४० करोड मानिस आप्रवासीका रूपमा रहेका छन् भने एशिया तथा प्रसान्त क्षेत्रमा यसको हिस्सा कति रहेको छ ? (2012 / 2013 AD Data),25 %,30 %,18 %,15 %,
विशवमा नेपालसहित कति भू-परिवेस्थीत् देशहरु छन् ?,२२,२५,३०,३१,
नेपाल सरकारले नागरिक बचत पत्र कहिले बाट प्रयोग मा ल्याएको हो ?,BS 2052,BS 2056,BS 2058,BS 2055,
How many permanent members are there in security council of U.N.O.?,20,15,10,5,
नेपाल राष्ट्र बैंकको मूलधन पुजी कति रहेको छ ?,१ अर्ब,१० अर्ब,२ अर्ब,१०० अर्ब,
नेपाली मुद्रालाई बास्केट प्रणालीमा विनिमय गर्ने निर्णय कहिले भएको थियो?,वि. स. २०३४ जेठ २०,वि. स. २०३४ जेठ १५,वि. स. २०३४ जेठ १७,वि. स. २०३४ जेठ १८,
Missy Franklin is related with?,Tennis,Cricket,Swimming,Beach Volleyball,
नेपाल सरकारले २० बर्षे नीति कहिले ल्याएको हो ?,वि.स.२०३७,वि.स.२०३८,वि.स.२०५४,वि.स.२०१५,
Who is the founder of Facebook?,Sergey Brin,Jerry Yang,Mark Zuckerberg,Larry Page,
नेपालको पहिलो (Antibiotic) औषधी  कुन हो ?,Nirobin,Penkiller,Chloroform,Penicillian,
ताराहरुमा प्रमुख तत्व कुन हुन्छ ?,Calcium,Nitrogen,Slicon,Hidrogen,
जमिन भासिएर भन्ने खाल्डो लाई वैज्ञानिक भाषामा के भनिन्छ ?,Rink Hole,Pink Hole,Sink Hole,Round Hole,
Amazon.com कस्तो खालको Website हो ?,E-Commerce,Directory,Social Networking,News Portal,
सन् २०१४ को FIFA विश्वकप बिजेता राष्ट्र जर्मनीले कुन राष्ट्रलाई हराएर बिजेता भएको थियो ?,France,Brazil,Argentina,Holland,
हाम्रो देश नेपाल को कति प्रतिसत भू-भाग संरक्षण क्षेत्रले ओगटेको छ?,25.5 %,20%,28 %,18.30 %,
When was Chitwan National Park listed in World Heritage Site?,1992 AD,1990 AD,1984 AD,1988 AD,
Mahendra Singh Dhoni is related with which sport?,Cricket,Football,Tennis,Hockey,
सागर थापा कुन खेल संग सम्बन्धित छन् ?,Swimming,Football,Cricket,Volleyball,
राष्ट्रिय निकुञ्ज तथा वन्यजन्तु संरक्षण ऐन अनुसार कति प्रजातिका चराहरु कानुनी प्रक्रिया द्वारा संरक्षण गरिएको छ ?,१०,९,७,८,
१३औँ दक्षिण एसियाली खेलकुद को लोगो र मस्कट का डिजाइनर को हुन्?,शंकर नाथ रिमाल,रबिन मानन्धर,भोलानाथ पौडेल,बसन्त श्रेष्ठ,
सर्बप्रथम कुन 'अफ्रिकी देश' वोर्ल्ड कप फूटबल का लागि छनोट भएको थियो?,नाइजेरिया,इजिप्ट,इथियोपिया,नामिबिया,
यूईएफए प्लेयर अफ दि सिजनको उपाधि-२०१९ कसले प्राप्त गरेकाछन?,क्रिष्टियानो रोनाल्डो,लुका मोड्रिक,लिओनल मेस्सी,भर्जिल भान डाइक,
Mahakali अञ्चलमा नपर्ने जिल्ला कुन हो ?,Doti,Dadeldhura,Kanchanpur,Darchula,
हलेसी महादेवको मन्दिर कुन जिल्लामा अवस्थित छ ?,Nawalparashi,Sagarmatha,Khotang,Chitwan,
""" रुप्से "" झरना कुन जिल्लामा पर्दछ ?",Dolpa,Mustang,Humla,Parbat,
Which is the Capital of Scotland?,Helsinki,Edinburgh,Glasgow,Conakry,
पृथ्वीको कुल क्षेत्रफल कति वर्ग कि. मि. छ ?,५० करोड वर्ग कि. मि.,४९ करोड वर्ग कि. मि.,५५ करोड वर्ग कि. मि.,५१ करोड वर्ग कि. मि.,
पृथ्वीको बाहिरी भागलाई के भनिन्छ ?,स्थलमण्डल,वायुमण्डल,मध्यमण्डल,केन्द्रमण्डल,
Which is the Capital of Nigeria?,Muscat,Port Moresby,Abuja,Lima,
