Question,Correct
एउटा गाविसमा कति वडा हुन्छन ?,९
नारयणहिटी राजदरबार कसले बनाएका हुन् ?,वीरसम्सेर
५ करोड रुपैयासम्म स्थिर र जेथा भएको उद्योगलाई के भनिन्छ ?,साना उद्योग
Serena Williams कुन खेल संग सम्बन्धित छिन् ?,Tennis
वातावरणलाई सामान्यता कति भागमा बिभाजन गर्न सकिनछ ?,7
 प्रधान कार्यालय द हेग सहरमा रहेको अन्तराष्ट्रिय न्यायालय मा कति  जना न्यायधिश रहने व्यवस्था छ?, १५ जना
Which district has the highest no. of Airports in Nepal?,Solukhumbu
कारागार नभएका जिल्ला कुन कुन हुन् ?,"भक्तपुर, वारा र धनुषा"
In which district does Bhutkuwa (भूतकुवा) lies?,Rupandehi
Nelson Mandela को जीवनी मा आधारित चलचित्र को नाम के हो ?,Mandela: Long Walk to Freedom
अंशुबर्माले बनाएको राजभवनको नाम के हो ?,कैलाशकुट भवन
अरस्तुको सम्बन्धमा तलको कुन चाहिँ ठिक हो ?,सबै उत्तर ठिक छन्
सार्वजनिक सस्थाहरुमध्ये सामाजिक क्षेत्रअन्तरगत रहेको संस्थानहरुको संख्या कति छ ?,५
 नेपालमा सरकारी ऋणपत्र को निस्कासन सर्बप्रथम कति सालदेखी प्रारम्भ भएको थियो ?,2018 BS
 राष्ट्रपति विद्यादेवी भण्डारी म्यानमारका राष्ट्रपति उ विन मिन्टको निमन्त्रणामा पाँचदिने राजकीय भ्रमणका सन्दर्भमा कहिले त्यसतर्फ प्रस्थान गर्नुभएको हो ?, विसं २०७६ असोज २९
इन्द्र जात्रा को प्रचलन  कसले चलाएको हुन्?,गुणकामदेव
भीमसेन थापा कति वर्षसम्म प्रधानमन्त्री भई देश र जनताको सेवा गरे ?,३१
Abraham Lincoln कहिले कहिले अमेरिकाको रास्ट्रपति पदमा चुनिएका थिए ?,1861 AD and 1864 AD
Deficit Financing (घाटा बजेट) कसको सिद्दान्त हो ?,J. M. Keynes
नेपाललाई प्राकृतिक रुपमा कती क्षेत्रमा बिभाजन गरिएको छ ?,3
"सबै धर्मका मानिसलाई खुल्ला रहने ""LOTUS TEMPLE"" कहाँ पर्दछ ?",INDIA
सबै भन्दा लामो दुरी उफ्रने जनावर कुन हो ?,कंगारु
नेपाल र नर्वेबीच परराष्ट्र मन्त्रालयस्तरीय द्विपक्षीय संयन्त्रको स्थापना कहिले भएको हो ?,विसं २०७६ कात्तिक १८
सन् २००६ सम्म विश्वमा सबै भन्दा धेरै सुन उत्पादन गर्ने देश South Africa थियो भने आहिले २०१३ मा आएर विश्वमा सबै भन्दा धेरै सुन उत्पादन गर्ने देश कुन भएको छ ?,China
Which is the Capital of United Arab Emirates?,Abu Dhabi
कुन जातिको संस्क्रतिमा देवी'पार्वतीलाई 'सुम्नीमाको रूपमा पुजिन्छ ?,Rai
रानी पोखरी को निर्माण गराउने राजा को हुन् ?,Pratap Malla
नेपाललाई पहिलो बैदेसिक सहायता कुन कार्यक्रम स्वरूप प्राप्त भएको थियो ?,Point Four Program
 World सम्पदा  दिवस कहिले मनाइन्छ ?,18 April
Taplejung जिल्लाको सदरमुकाम कुन हो ?,Taplejung
दक्षिण को ब्रिटेन भनेर कुन देश लाई चिनिन्छ ?,New Zealand
भुमध्ये रेखाले नछुने महादेश कुन हो?,Europe
Athens को पहिलो लिखित संबिधान ड्रेगाले कहिले जारी गरेका थिए ?,ई. पू. 624
भारतका लागि पहिलो नेपाली राजदूत को हुन् ?,सिंह सम्सेर
चिसो पानीको महासागर भन्नाले कुन महासागरलाई बुजिन्छ ?,कुमेरु महासागर
२००७ साल पछि बनेको संयुक्त सरकारको प्रधानमन्त्री को थिए ?,मोहन समशेर
नेपालका सार्वप्रथम महिला राज्यको उत्तराधिकारी को हुन् ?,नायक देवी
नेपालमा करीब कति संख्यामा साना - तथा ठुला नदीनाला हरु छन्।,6000
Bardiya राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,968 Sq. KM
Morning Star भनेर कुन ग्रह लाई चिनिन्छ ?,Mars
सप्तकोसीको सबैभन्दा ठुलो नदि कुन हो ?,Arun
भुटनदेवी' मन्दिर कुन  जिल्लामा पर्दछ?,Makawanpur
'सी' बर्गका राणाहरुलाई उपत्यका बाहिर निस्कासन गर्ने राणा प्रधानमन्त्री को हुन् ?,Juddha samser
निम्नमध्ये कुन मुलुक वि.स. २००७ साल अगाडी नेपालसँग दौत्य सम्बन्ध कायम भएको मुलुक होइन ?,China
Jang Bahadur Rana पछि बेलायत जाने राणा प्रधानमन्त्री को हुन् ?,Chandra Shamsher Jang Bahadur Rana
Facebook कस्तो खालको Website हो ?,Social Media
" नेपाल को अन्तराष्टिय समन्ध लाई मजबुद बनाउन ""सगरमाथा संबाद"" को सुरुवात कहिले बाट गरियो?", बि स  २०७५ बैशाख २
टकबहादुर राईले किराँत राई चाम्लिंग भाषामा लेखिएको महाकाव्य कुन हो ?,तोयाँमा खिल्यामा
तामाङ जातिको मुख्य वाद्ययन्त्र कुन हो ?,डम्फु
छाला तथा फोक्सो दुवै अंग बाट सास फेर्ने जीव कुन हो ?,भ्यागुता
नेपाल मा कतिवटा महानगरपालिका छन् ?,६
कीर्तिमानी पर्वतारोही सञ्जय पण्डितको निधन कहिले भयो ?,सन् २०१७ जून १६
त्रिभुज आकारको महासागर भनेर कुन महासागरलाई चिनिन्छ ?,Pacific
Achham जिल्लाको सदरमुकाम कुन हो ?,Mangalsen
France को क्याथोलिक समुदायका इसाई धर्मका धर्म गुरु र पुरोहितलाई के भनिन्थ्यो ?,पादरी
Which is the first film in Nepali Language?,Harischandra
When was Abraham Lincoln born?,"February 12, 1809"
गौतम बुद्द अन्तराष्ट्रिय शान्ति पुरस्कारको राशी कति रहेको छ?, 50 हजार अमेरिकी डलर
सबै भन्दा छिटो दौडिने जनावर कुन हो ?,चितुवा
भ्यागुते रोग कुन किटाणुबाट सर्दछ ?,कर्नोब्यकटेरियम डिप्थेसिया
सहि उतर छान्नुहोस् १ प्रधान कार्यालय द हेग सहरमा रहेको अन्तराष्ट्रिय न्यायालय मा 9  जना न्यायधिश रहने व्यवस्था छ।२ नेपाल संयुक्त राष्ट्र संघ को आर्थिक तथा सामाजिक परिषद को २ पटक सदस्य भएको छ ?३ नेपाल ले संयुक्त राष्ट्र संघ को सदस्यको लागि प्रथम पटक आबेदन दिंदा रसिया ले अस्विकार गरेको थियो।,३ मात्र ठिक
विश्वको सबै भन्दा अग्लो Tower कुन हो?,Tokyo Sky Tree (Japan)
Rupandehi जिल्लाको सदरमुकाम कुन हो ?,Bhairahawa
पृथ्वीनारयण शाहको जन्म कहिले भएको थियो ?,वि.स. १७७९
"""The Light of Asia"" भनि कसलाई चिनिन्छ ?",गौतम बुद्ध
नेपालको कुल जनसंख्याको कति प्रतिशत  जनसंख्या हिमाली परदेशमा बसोबास गर्दछन् ?,करिब ७ प्रर्तिशत
How many districts were there in Nepal at the time of Bhimsen Thapa?,39
नेपाल सर्बप्रथम कुन देशसंग दैत्य सम्बनध कायम भएको थियो ?,सयुक्त अधिराज्य
सहकारी सस्था एन कहिले बनेको थियो ?सहकारी सस्था एन कहिले बनेको थियो ?,२०१६
सन् २०१३ November३०  मा  U.A.E मा भएको ICC-20 प्रतियोगितामा नेपालले तेस्रो स्थान प्राप्त गर्दा कुन मुलुकलाई पराजित गरेको थियो ?,U.A.E
Albert Einstein कहिले नोबेल पुरस्कार प्राप्त गरेका थिय ?,1921
पश्चिम सेती जलबिद्युत आयोजना बाट कती Mega Watt बिजुली उत्पादन गर्न सकिन्छ ?,750 MW
"""शन शिरो"" रंगशाला कुन सहरमा छ ?", मिलन
टिपताल छहरा कहा छ ?,Taplejung
आदि कवि भानु भक्तको पहिलो कृति कुन हो ?,रामायणको बालकाण्ड
कुमारी बनाई पुजा गर्ने चलन चलाउने राजा को हुन् ?,Guna Kamdev
सीताको छोरा हरु को नाम के के हो ?,लव र कुश
 लिच्छविकालमा साना ठुला हरेक बस्तीलाई के भनिन्छ ?,ग्राम
सन् २०१३ को अक्टोबरमा सम्पन्न भएको बाल श्रमिक विश्व सम्मेलन कुन देशमा आयोजना भएको थियो ?,Brazil
सप्तगण्डकीको सबभन्दा लामो नदि कुन हो ?,कालीगण्डकी
Far Western Development Region मा नपर्ने अञ्चल कुन हो ?,Gandaki
क्षेत्रफल को हिसाबले चौथो ठुलो महासागर कुन हो ?,कुमेरु
बुद्ध धर्मको प्रमुख ग्रन्थ कुन हो ?,त्रिपिटक
हिन्दु देवी देवताहरुको वासस्थान भएको पर्वत भनेर कुन पर्वतलाई चिनिन्छ ?,सुमेरु पर्वत
When did former Indian President APJ Kalam (Abdul Kalam) died?,"July 27, 2015"
निजिकारणका लागि दबाब दिने तत्व कुन हो ?,माथिका सबै
 विश्वको सबैभन्दा पुरानो कृषि अन्न कुन हो ?,भटमास
बहुमुल्य धातु हीरा  कुन तत्वबाट बनेको हो ?,Carbon
बीबीसीद्वारा सार्वजनिक विश्वका सयजना प्रेरणादायी एवम् प्रभावशाली महिलाको सूची (सन् २०१९) मा पर्न सफल नेपाली चेली को हुन् ?,वोनिता शर्मा
तल दिएको मध्ये Dhawalagiri अञ्चलमा नपर्ने जिल्ला कुन हो ?,Manang
"धादिंग जिल्लाको कुन स्थानलाई ""सुन्तले टापू"" उपनामले पनि चिनिन्छ ?",स्यादुल
राउटे जातिले बिना गीत बाजा मात्र बजाई सामुहिक रुपमा नाच्ने नृत्यलाई के  नृत्य भनिन्छ?,वैशाली
सबै भन्दा कम उमेरमा राजा हुने को हुन् ?,Girvan Yuddha Bikram Shah
नेपाल संगै सयुक्त राष्ट्रसंघको सदस्यता लिने आसीयानको सदस्य राष्ट्र कुन हो ?,कम्बोडिया
६१ नगरपालिका थप भएसगैँ नेपालमा नगरपालिकाको संख्या कति पुगेको छ ?(Data of 2071 BS) ,191
Who is the second President of Nepal?,Bidhya Devi Bhandari
काठमाडौँ महानगरपालिकाले कहिले देखि काठमाडौँ महानगरपालिकालाई प्लास्टिक झोला मुक्त क्षेत्र घोषणा गरेको हो ?,2070 Asar 1
नेपाल राष्ट्र बैंकको स्थापना कुन कानुन अनुसार भएको हो ?,नेपाल राष्ट्र बैंक २०१२
नेपाल UNO को कतिऔ राष्ट्र हो ?,70
सर्प नपाईने देशः ,Iceland
How long does it take Sunlight to reach the Earth?,8 minutes 20 seconds
तल दिएको मध्य कुन जिल्ला मेची अञ्चलमा पर्दैन ?,Terhathum
किरिया बस्दा आफ्नो भाषा मात्रा बोल्ने र अरु भाषा बोल्ने मानिससंग नबोल्ने नेपालको कुन जनजाति हो ?,बनकरिया
ताप्केको लागि कुन ठाउँ प्रसिद्ध छ ?,Birgunj
२०७० सालको नोना कोइराला स्मृति राष्ट्रिय पत्रकारिता पुरस्कार कसलाई प्रदान गरियो ?,Bikram Niraula
लिछ्बिकालिन नेपलकों सासन व्यवस्ता कुन प्रकारको थियो ?,गणतन्त्रामक
"ताल सुकेर भएको ठाउँ मा भेटिने माटो लै तलैया माटो भनिन्छ भने, यो माटो को रंग कस्तो हुन्छ?",कालो
PoS  को पूर्ण रुप के हो?,Point of Sell
     नेपालभित्रको दुरीलाई हिसाब गर्दा कर्णाली नदि कति लामो छ ?,507 km
विश्वको सबै भन्दा ठुलो शिखर कुन हो?,Mt. Everest
Which is the most famous book of Aristotle?,The Politics
अन्तराष्ट्रिय अपांगता दिवश कहिले मनाईन्छ ?,Dec 3
नेपालको दोस्रो महत्वोपूर्ण खाधान् बालि कुन हो ?,मकै
Who is the founder of Microsoft?,Bill Gates
बेलायतको संसदले सन् २०१३ को ग्लोबल डाईभर्सिटी पुरस्कारबाट कसलाई सम्मानित गरेको छ ?,Amitab Bacchan
.दिगो विकास लक्ष्य सम्वन्धि प्रतिवेदन अनुसार नेपाललाई कहिले सम्म जोखिममुक्त र सूरक्षायुक्त मानव विकास भएको मूलुक वनाउने लक्ष्य तय भएको छ??,सन 2030 सम्ममा
सबै भन्दा ठुलो प्रायदिप (Peninsula) कुन हो ?,India
मल्लकालीन कान्तिपुर राज्यको स्थापना कसले गरेका थिए ?,Rathna malla
U.N.O को स्थापना कहिले भएको हो?,24 Oct. 1945
२२.२ मेघावाटको माथिल्लो चाकु 'ए' जलविद्युत आयोजना कुन जिल्लामा पर्दछ ?,Sindhupalchowk
बनस्पति घिउ बनाउने प्रयोग हुने Element कुन हो ?,Hydrogen
अमेरिकी अन्तरिक्ष यान नासाको यान क्यूरियोरिटी मार्फत कुन ग्रहको अन्वेषण गर्ने काम गरिरहको छ ?,Mars
Which is the Capital of Tajikistan?,Dushanbe
Mid-Western Development Region मा पर्ने अञ्चल कुन हो ?,Bheri
झापा जिल्लाको सदरमुकाम कुन हो ?,Bhadrapur
सबैभन्दा कम श्लोक भएको पुराण कुन हो ?,मार्कण्डेय पुराण
इन्द्रजात्रामा कुमारीको रथ घुमाउने चलन कसले चलाएका हुन् ?,Jay Prakash Malla
कौटिल्यले अर्थशास्त्रको रचना कहिले गरेको मानिन्छ?,तेस्रो सताब्दीको अन्त्यतिर
नेपालको  सबै भन्दा पुरानो उद्योग कुन हो ?,बिराटनगर जुट मिल
चितवन राष्ट्रिय निकुञ्जको क्षेत्रफल कति रहेको छ ?,932 Sq. KM
Adam Gilchrist is related with which sport?,Cricket
तल दिएको मध्ये Lumbini अञ्चलमा नपर्ने जिल्ला कुन हो ?,Chitwan
तराई प्रदेशमा कति ओटा जिल्लाहरु पर्दछ ?,20
"""बिवा-को"" (Biwa-ko) ताल कुन देशको सबै भन्दा ठुलो ताल हो ?",Japan
"नेपाल , भारत  र बेलायत बीच त्रिपक्षीय समझौता कहिले भएको थियो?",सन् १९४७ नेवेम्बेर ९
लिछ्बिकालमा ' सर्वदन्दनायक ' कसलाई मानिन्थ्यो ?,न्यायधीस
Black Lead भन्नाले के बुझिन्छ ?,ग्रेफाइड
हरेक दिन नेपालमा कती जना दृस्टीबिहिन हुने तथ्यांक छ ?(Data 2070 BS) ,125
SAARC महासचिवको पदावदि कति वर्षको हुन्छ ?,3
सरकारले नेपालको पहिलो नर्सका रुपमा कसलाई घोषणा गर्यो ?,लामु अमात्य
Which is the smallest Planet?,Mercury
इस्लाम धर्मका प्रवर्तक को हुन् ?,पौगम्बर मोहमद
बिश्व सुन्दरी(Miss World) प्रतियोगिताको सुरुवात कहिले देखि भएको हो ?,सन् १९५२
भगवान रामचन्द्रको निवासलाई के भनिन्छ ?,साकेत
समान कामको लागि महिला र पुरुषको लागि समान पारिश्रमिक हुनुपर्छ भन्ने व्यवस्था अन्तरिम संविधानको कुन मौलिक हक अन्तर्गत पर्दछ ?,समानताको हक
अन्तर्राष्ट्रिय पर्वतारोहण उद्यान नुवाकोटको ककनीमा स्थापना गरिएको छ भने जैविक प्रयोगशाला कुन ठाउँमा रहेको छ ?,Janakpur
हवाईसेवा कुन उद्योगअन्तर पर्दछ ?,सेवा उद्योग
"हरेक दिन कति टन ""Carbondioxide"" समुन्द्रमा घुलिने गर्छ ?",२ करोड ४० लाख टन
Chris Gayle is related with which sport?,Cricket
Which is the Capital of Libya?,Tripoli
पृथ्वीको बाहिरी भागलाई के भनिन्छ ?,स्थलमण्डल
""" सब्दविधा ""नामको ग्रन्थका रचनाकार को हुन् ?",अंशुबर्मा
अरस्तुले लक्ष्यलाई कति उपबर्गमा बाँडेका छन् ?,2
क्षय रोग कुन किटाणु बाट सर्दछ ?,Myco Bacterium Bacilli
कुन भिटामिनको कमीले रगत धेरै बग्छ ?,Vitamin  K
विश्वव्यापी भोक सूचकाङ्कमा ‘ग्लोबल हङ्गर इन्डेक्स’ २०१९ अनुुसार नेपाल कतिऔँ स्थानमा रहेको छ ?, ७३औँ
Mid-Western Development Region मा पर्ने जिल्ला कुन हो ?,Jajarkot
जीसस क्राइस्टको स्मरणमा कुन सम्बत प्रचलनमा ल्याईएको हो ?,इसबी सम्बत
नेपाली सेना मा कति वर्ष उमेरभित्र National Defense Course (NDC) गरिसक्नु पर्ने प्राबधान छ?,५३ वर्ष भित्र
नेपाललाई पहिलो बैदेसिक सहायता स्वरूप कती रकम अनुदानमा प्राप्त भएको थियो ?,22 Thousand USD
The first computer to enter in Nepal was?,IBM 1401
नेपाल मा पहिलो पटक पानी जहाज कार्यालय को स्थापना कहिले भएको हो ?,बि स  २०७५ फागुन  २
Who was the last king of bhaktapur?,Ranajit malla
ग्रिक सभ्यतामा राज्य लाई के भनिन्थ्यो?,पोलिस
 भक्तराज आचार्य rastraya संगीत सम्मान -२०७४ बाट सम्मनित हुने bakyatityo को हुन् ?,हरिप्रसाद रिमाल
महान्ययाधिव्कता कति अवधिसम्म बहाल रहनेछन् ?,प्रधानमन्त्रीको इच्छानुसार
विश्वमा पानीपछि सबैभन्दा बढी उपभोग गरिने पेय पदार्थ के हो ?,Tea (चिया)
नेपाल मा कतिवटा नगरपालिका छन् ?,२७६
Far Western Development Region मा नपर्ने जिल्ला कुन हो ?,Kalikot
Which English General died in the battle of Nalapani with the Nepalese Warriors?,General Rollo Gillespie
राणाकालमापहाडी जिल्लाहरुको संख्या कति थियो ?,२०
व्यवस्थापिका संसदको दुई तिहाई मतले विजयी हुँदै नेपाली कांग्रेसका सभापति सुशील कोइराला मुलुकको कतिऔं प्रधानमन्त्री बन्नुभयो?(2070 BS) ,३७ औं
' भट्टारक ' कसलाई भनिन्थ्यो ?,युबराज
नेपाल र भारत बिच बिप्पा (BIPPA) सम्झौता गर्ने नेपालका प्रधानमन्त्री को हुन् ?,Baburam Bhattarai
सन् २०१४ मा ब्राजिलमा हुने विश्वकप फुटबल प्रतियोगितामा छानिने पहिलो अफ्रिकी मुलुक कुन हो ?,Nigeria
मुटुको गति नाप्ने यन्त्र लाई के भनिन्छ?,Cardiogram
रकेटको विकास कुन देशमा भएको हो ?,CHINA
What type of device is computer keyboard?,Input
नेपाल सरकारले कहिले देखि लोपोन्मुख जतिका मानिसलाई मासिक भत्ता उपलब्ध गराउन थालेको हो ?,B.S. 2065
 बहादुर शाहको समयमा नेपालको पस्चीम सिमाना कहासम्म पुगेको थियो ?,कुमाउ गदवाल
नेपाली बजारमा जुत्ता-चप्पलको बढ्दो माग भए पनि स्वोदेसि उत्पादनले कति माग पुरा गर्न सकेको छ ?(Data 2070 BS) ,55 %
बच्चा कति उमेरको भएपछि दादुराविरुद्धको खोप दिईन्छ ?,९ महिना
नेपालको निशाना छापमा कतिवटा लालीगुरासँका फूल रहेका छन् ?,१४
नेपालको सबभन्दा लामो हिमनदि कुन हो ?,खुम्बु
चीन र भारत दुवै छुने अञ्चल कती ओटा छन् ?,6
अंशुबर्माले कति वर्ष शासन गरे ?,१६ वर्ष
शाहबंसिय राजाहरुमा सबै भन्दा बुढो उमेरमा मा राजा हुने को हुन् ?,King Gyanendra
Bhaktapur दरबार आगाडी भएको सालिक कसको हो ?,Bhupatindra Malla
महिला शिक्षाको सुरुवात कसको पालामा भएको थियो ?,Bir Shumsher
"हिमनदिले थुपारेको माटो, बालुवा, कंकड़ र पत्थर मिलेर कस्तो माटो बन्छ ?",हिमाली माटो
भौगोलिक रुपमा भूपरिबेस्ठित (Landlock) नेपालको अर्थतन्त्रको मूल आधार के हो ?,कृषि
""" व्रिकेट ""  के हो ?",बैकल्पिक उर्जा
Which of the following is not a Browser?,Skype
नेपाल राष्ट्र बैंक को स्थापना कहिले भएको हो?,26 April 1956
नरभूपाल शाहका कति  रानीहरु थिए ?,४
 गोर्खाका राजा रामशाह गोर्खाका प्रथम राजा द्रब्य शाहका को थिए ?,नाती
२०६८ सालको मदन पुरस्कार कुन कृतिले प्राप्त गर्यो ?,सेतो धर्ति
सबैभन्दा बढी नगरपालिका भएको जिल्ला कुन हो।(Data of 2014 AD) ,Morang
Shivapuri National Park को स्थापना कहिले भएको हो ?,BS 2058
Which is the Capital of Argentina?,Buenos Aires
Terhathum जिल्लाको सदरमुकाम कुन हो ?,Myanglung
Mid-Western Development Region मा कति ओटा जिल्ला हरु छन् ?,15
"""आशुकवि"" कसलाई भनिन्छ ?",सम्भुप्रसाद  देवकोटा
नेपालको पहिलो घोषित साक्षर नगरपालीका कुन हो ?,तानसेन नगरपालिका
नेपाल सरकारले जनताका गुनासा सुन्न सुरु गरेको ‘हेलो सरकार ‘ को निशुल्क फोन नं कति हो ?,1111
काठमाडौँको जगननाथको मन्दिर कसले बनाएको थिए ?,Rada bahadur shah
एसियाको नोबल पुरस्कार मानिने रोमन म्यागासेसे पुरस्कार सन् २०१३ मा कुन नेपाली गैह्रसरकारी संस्थाले पाएको छ ?,शक्ति समुह
" ऐतिहासिक Boxing  खेल ""The Rumble in the Jungle "" मा  मुहम्मद अलि का प्रतिस्पर्धी को थिए ?", GEORGE FOREMAN
Lumbini अञ्चलको सदरमुकाम कुन हो ?,Butwal
सबै भन्दा धेरै उप-ग्रह हरु भएको ग्रह कुन हो ?,Jupiter
अंशुबर्मा कुन बंशका थिए ?,ठकुरी
"पाकिस्तानको राष्ट्रिय जनावर ""माखोंर"" (Makhor) कुन प्रजातिको जनावर हो ?",बाख्रा
Abraham Lincoln अमेरिकाका कतिऔ रास्ट्रपति हुन् ?,16
Abraham Lincoln को आमा को नाम के थियो ?,Nancy Lincoln
प्रथम दक्षिण एशियाली खेलकुदमा नेपालले कतिबटा पदक जितेको थियो ?,24
प्रकृतिमा सबभन्दा बडी मात्रामा कुन ग्यास पाईन्छ ?,Nitrogen
सबै भन्दा धेरै उन उत्पादन गर्ने देश कुन हो ?,Australia
"भगवान शिव लाई चिनाउने शब्द ""आशुतोष"" को अर्थ के हो ?",चाडै खुशी हुने
बेलायती सेनाको सर्बोच्च सम्मानलाई के भनिन्छ ?,VC
Doctrine of Two Knowledge of Socrates भन्नाले के लाई बुझाउछ?,बाह्य तथा आन्तरिक ज्ञान
केन्द्रिय बैँक नभएको देशः ,Panama
नेपालमा कहिले देखि रातो र निलो रंगको ग्यास सिलिन्डर बिक्रि सुरु भएको हो ?,2070 Asar 1
सबै भन्दा धेरै फुल पर्ने चरा कुन हो ?,तित्रा
Law of Natural Selection को प्रतिपादक को हुन् ?,Charles Darwin
2007 को क्यालेन्डर तलकामध्ये कुन वर्षको क्यालेन्डर सँग पुरै मिल्छ ?,2018
Bardiya जिल्लाको सदरमुकाम कुन हो ?,Guleria
Who is the last Malla Ruler of Kathmandu?,Jay Prakash Malla
भण्डारखाल पर्व हुदा नेपालका प्रधानमन्त्री को थिए ?,जंग बहादुर
 जनकपुरमा राजा महेन्द्र माथि बम प्रहार गर्न असफल प्रयास कहिले भएको थियो ?,2018 mag 9 b.s
राष्ट्रबैंकबाट प्रकाशित प्रतिवेदन अनुसार हाल नेपालमा सबैभन्दा बढी रेमिट्यान्स कुन राष्ट्रबाट आउने गरेको छ ?(Data of 2014 AD) ,Malaysia
लहरे खोकी कुन किटाडू बाट सर्दछ ?,Bordetella Pertussis
संसारकै सबै भन्दा ठुलो मन्दिर कुन हो ?,Angkor Wat Temple (Cambodia)
रामशाहले सा-साना मुधा हेर्ने अधिकार कसलाई प्रदान गरेका थिए ?,गाऊ पन्चायतहरु
गौतम बुद्धको जन्म कहिले भएको थियो ?,इसा पूर्व ५६३
फाल्गुनन्दको जन्म कहाँ भएको थियो ?,इलाम
राज्यको अंग सम्बन्धि कौटिल्य को सिद्धान्त लाई के भनिन्छ ?,सप्ताङ्ग सिद्धान्त
नेपाली बजार मा सोयाबिन (भटमास) को तेल को बजार हिस्सा कति प्रतिसत रहेको छ ?,65 %
"According to Data of Transparency International 2013, Corruption is increased in Nepal by…?",57%
नेपालमा कती औषधी उद्योग हरु छन् ?(Data 2070 BS) ,55
सरिर मा कति प्रकारका मान्सपेक्षीहरु हुन्छन ?,3
हलेसी महादेवको मन्दिर कुन जिल्लामा अवस्थित छ ?,Khotang
पृथ्वीको सब भन्दा भित्रि भाग लाई के भनिन्छ ?,केन्द्रमण्डल
मिश्र सभ्यता समयमा उच्च वर्गमा को को पर्दथे?,"राजपरिवार, सामन्त र पुजारी"
भगवान Gautam Buddha को माताको नाम के हो ?,मायादेवी
Abraham Lincoln कहिले Congress सदस्य भए ?,1847 AD
"जर्मन संसदले Angela Merkel लाई कतिऔ कार्यकालका लागी सन् 2013, December 17 मा लगातार Chancellor पदमा निर्बाचित गरेको हो ?",तेस्रो कार्यकाल
सन् २०२२ को FIFA विश्वकप कुन देशमा हुदै छ ?,Qatar
Who is the founder of Apple Computers?,Steve Jobs
नेपालमा कुन ठाउँमा तिनमुखे झोलुङ्गे पुल निर्माण गर्न थालिएको छ ?,"Gulmi, Palpa and Shyangjha को संगमस्थलमा"
धोबीको हातको पानी चलाउने राजा को हुन् ?,Lakshmi Narsingh Malla
पौगम्बर मोहमदको जन्म कहाँ भएको हो ?,Saudi Arabia
बालाजुको २१ धारा कसले बनाउन लगाएका थिए ?,जय प्रकाश मल्ल
विश्वमा सबैभन्दा धेरै जनसंख्या भएको देश चिन हो भने धेरै मतदाता भएको देश कुन हो ?,India
अरस्तुले आफ्नो प्रसिद्ध ग्रन्थ The Politics के को बर्णन गरेका छन् ?,सरकार र संबिधान
Where does Mt. Everest Lies?,"Nepal, Asia"
Europe महादेशमा भूपरिबेस्ठित (Landlock) राष्ट्रहरु कति छन् ?,15 Countries
कपडामा कोरिने चित्रलाई के भनिन्छ ?,पौवा चित्र
शाक्त धर्मको प्रभाव कुन राजाको पाला देखि प्रमाणिक रुपमा पाउन सकिन्छ ?,मानदेव प्रथम
अरस्तुको रचनालाई Oxford University ले कति खण्डमा प्रकासित गरेको छ ?,१२ खण्ड
कुवेती कानुन अनुसार १८ नम्बर भिसा मा जाने कामदारले कती वर्ष पछी आफ्नो इच्छा अनुसार रोजगार तथा मालिक फेर्न पाउछन् ?,After 3 yrs
तलका मध्य कुन बन्दरगाह होइन ?,लापाज
राजा रण बहादुर शाहको हत्या गर्ने उनकै भाई को थिए ?,शेर बहादुर शाह
Who founded India?(India कसले पत्ता लगाएका हुन् ?) ,Vasco da Gama
सार्कको कतिऔं धारामा सचिवालयको व्यवस्था गरिएको छ ?,धारा 8
विशव व्यापार संगठनको कार्यालय कहाँ छ ?,जेनेभा
नेपालको पूर्व पश्चिम लम्बाई कति छ??,885 कि.मी
Which is the Capital of Russia?,Moscow
Janakpur अञ्चलमा कति ओटा जिल्ला हरु छन् ?,6
पुनर्जागरणले यूरोपमा कुन युग को प्रारम्भ गरेको थियो?,नव युग
"राष्ट्रिय श्रमशक्ति सर्वेक्षण, २०१३ का अनुसार नेपालमा सबैभन्दा बढी कुन देशबाट रेमिट्यान्स भित्रिने गरेको छ ?",Qatar
Jacques Kallis is related with.... ?,Cricket
पहाडी प्रदेशले कुल क्षेत्रफलको कति प्रतिसत भूभाग ओगटेको छ ?,68%
सबै भन्दा चिसो महादेश कुन हो?,Antarctica
धरहराको निर्माण कसले गरेका हुन्?,Bhimsen Thapa
अन्चालाधिस पदलाई कहिले संवैधानिक बनाइएको थियो ?,२०२३
नेपालमा मुख्यतय कती जना राणा प्रधानमन्त्रीले राज्यभार सम्हाले ?(कार्यबाहक प्रधानमन्त्री बम बहादुर कुँवर राणा र कृष्ण बहादुर कुँवरलाई राणा बाहेक) ,9
Security खरिद बिक्रि केन्द्र को स्थापना कहिले भएको हो ?,BS 2033
सामान्य अवस्थामा मानव तापक्रम कति हुन्छ ?,९८.२ %
हिमाल देखि महाभारत पर्वत सम्म फैलिएको जिल्ला कुन हो ?,धादिङ
सौर्यमण्डल भन्नाले के बुझिन्छ ?,सुर्यको परिवार
पृथ्वीनारयण शाहकी आमा कति औ रानी थिइन ?,माइली
कालापत्थरमा कहिले मन्त्रीपरिषद्को बैठक बसेको थियो ?,2066 Mangshir 19
